C03. Berapa jumlah perusahaan/ instansi/ institusi yang sudah Anda lamar (lewat surat/ e-mail) sebelum Anda memperoleh pekerjaan pertama?,C05. Berapa jumlah perusahaan/ instansi/ institusi yang mengundang Anda untuk wawancara?,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_4. Penggunaan Teknologi Informasi","[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_11. Melalui relasi (misalnya dosen, orang tua, saudara, teman, dll.)",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_5. Dihubungi oleh perusahaan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_2. Demonstrasi (Peragaan /Gaya Pembelajaran),"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_3. Bahasa Inggris",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_7. Menghubungi agen tenaga kerja komersial/swasta,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_1. Etika",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_1. Perkuliahan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_7. Diskusi,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_12. Membangun bisnis sendiri,S04. Program Studi,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_4. Magang,"[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_1. Melalui iklan di koran/majalah, brosur",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_6. Menghubungi Kemenakertrans,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_3. Pergi ke bursa/pameran kerja,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_14. Bekerja di tempat yang sama dengan tempat kerja semasa kuliah,C04. Berapa jumlah perusahaan / instansi / institusi yang merespon lamaran Anda?,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_2. Melamar ke perusahaan tanpa mengetahui lowongan yang ada,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_5. Komunikasi",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_15. Lainnya : (Tulis jawaban pada pertanyaan berikutnya),[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_9. Menghubungi kantor kemahasiswaan/hubungan alumni,A01. Sertifikasi profesi apa yang Anda dapatkan setelah lulus?,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_6. Kerja Lapangan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_3. Partisipasi dalam proyek riset,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_4. Mencari lewat internet/iklan online/milis,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_2. Keahlian berdasarkan bidang ilmu
","[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_7. Pengembangan Diri",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_5. Praktikum,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_8. Memperoleh informasi dari pusat/kantor pengembangan karir fakultas/universitas,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_10. Membangun jejaring (network) sejak masih kuliah,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_13. Melalui penempatan kerja atau magang,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_6. Kerja sama tim",Skor_Inisiatif_Mencari_Kerja,Skor_Rata2_MetodeBelajar,Skor_Rata2_Kompetensi,Target_Klaster,Nama_Pola_Karir
20.0,15.0,4.0,,Pilihan,4,3.0,,4.0,3,4,,Akuntansi S1,4.0,Pilihan,,,,15.0,,4.0,,,00013/LOT-01A/8/2024/TNL,5,4,,3.0,4.0,4.0,,,,4.0,-5.0,4.0,3.7142857142857144,0,Karir Lintas Jalur
3.0,1.0,5.0,,,5,4.0,,5.0,5,5,,Arsitektur S1,5.0,,,,,1.0,,5.0,,,0,4,4,Pilihan,5.0,5.0,5.0,,,Pilihan,5.0,15.0,4.714285714285714,4.857142857142857,1,Karir Linear
3.0,2.0,4.0,,,2,3.0,,4.0,2,2,,Sistem Informasi S1,2.0,,,Pilihan,,2.0,,4.0,,Pilihan,0,2,2,Pilihan,4.0,4.0,2.0,Pilihan,,Pilihan,5.0,-1.0,2.0,4.0,3,Karir Elit
8.0,8.0,4.0,Pilihan,,5,3.0,,5.0,5,4,,Manajemen S1,4.0,,,,,8.0,,5.0,,,Human resource,4,4,,5.0,5.0,4.0,,Pilihan,,5.0,60.0,4.285714285714286,4.571428571428571,1,Karir Linear
4.0,5.0,5.0,,,5,4.0,,5.0,5,5,,Psikologi S1,5.0,,,,,7.0,,5.0,,,0,5,5,,5.0,5.0,5.0,,,,5.0,0.0,5.0,4.857142857142857,3,Karir Elit
2.0,2.0,5.0,,,4,4.0,,4.0,4,5,,Desain Interior S1,4.0,,,,Pilihan,2.0,,5.0,,,0,4,5,,5.0,5.0,5.0,,,,5.0,12.0,4.428571428571429,4.714285714285714,1,Karir Linear
5.0,2.0,4.0,,,5,5.0,,4.0,4,5,,Teknik Mesin S1,3.0,Pilihan,,,,3.0,,4.0,Pilihan,,0,3,3,,4.0,3.0,5.0,Pilihan,,,4.0,24.0,4.0,4.0,3,Karir Elit
2.0,1.0,4.0,Pilihan,,4,5.0,,4.0,4,4,,Desain Interior S1,4.0,,,,,1.0,,4.0,,,0,4,3,,3.0,4.0,4.0,,,,4.0,1.0,3.857142857142857,4.0,1,Karir Linear
3.0,2.0,4.0,Pilihan,,3,4.0,,5.0,4,4,,Teknik Sipil S1,3.0,Pilihan,,,Pilihan,3.0,,5.0,,,SKK Pengawas Pekerjaan Struktur Bangunan Gedung  Utama dan SKK Manajer Lapangan Pelaksanaan Pekerjaan Gedung,4,4,Pilihan,4.0,5.0,4.0,,Pilihan,,5.0,3.0,3.7142857142857144,4.571428571428571,1,Karir Linear
2.0,2.0,5.0,Pilihan,,4,4.0,,5.0,4,4,,Desain Interior S1,5.0,,,,Pilihan,2.0,,5.0,,,0,5,5,,5.0,5.0,5.0,,,Pilihan,5.0,12.0,4.571428571428571,4.857142857142857,1,Karir Linear
40.0,5.0,3.0,,,5,3.0,,5.0,5,2,,Teknik Informatika S1,5.0,,,,,10.0,,3.0,Pilihan,,0,5,2,,3.0,4.0,5.0,,,,4.0,-1.0,4.142857142857143,3.5714285714285716,1,Karir Linear
50.0,20.0,4.0,Pilihan,,4,4.0,,5.0,4,5,,Desain Interior S1,3.0,,,Pilihan,,30.0,,3.0,,,0,3,2,Pilihan,4.0,4.0,2.0,Pilihan,,,4.0,-3.0,3.2857142857142856,4.0,1,Karir Linear
3.0,9.0,4.0,,Pilihan,4,3.0,,4.0,4,4,,Arsitektur S1,4.0,,,Pilihan,,3.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,Pilihan,4.0,5.0,4.0,3.857142857142857,1,Karir Linear
2.0,5.0,5.0,Pilihan,Pilihan,5,4.0,Pilihan,5.0,5,5,Pilihan,Manajemen S1,5.0,Pilihan,Pilihan,,Pilihan,5.0,Pilihan,5.0,,Pilihan,karyawan swasta,5,5,Pilihan,5.0,5.0,5.0,Pilihan,Pilihan,Pilihan,5.0,12.0,5.0,4.857142857142857,0,Karir Lintas Jalur
2.0,1.0,3.0,,,3,3.0,,5.0,4,3,,Teknik Sipil S1,3.0,,,,,1.0,,3.0,,,Sertifikat Kompetensi Pengawas Pekerjaan Struktur Bangunan Gedung Utama Level 6.  Masa Berlaku 5 tahun (24 Agustus 2023 - 24 Agustus 2028),3,3,,4.0,4.0,3.0,,,,4.0,0.0,3.142857142857143,3.7142857142857144,1,Karir Linear
5.0,2.0,3.0,,,5,2.0,,5.0,5,5,,Psikologi S1,5.0,,,,,2.0,Pilihan,3.0,,,0,5,5,,3.0,5.0,4.0,,,,5.0,0.0,4.857142857142857,3.7142857142857144,0,Karir Lintas Jalur
1.0,1.0,4.0,,,3,3.0,,4.0,4,3,,Teknik Informatika S1,3.0,,,,,1.0,,4.0,,,0,2,2,,3.0,4.0,3.0,,,,4.0,0.0,2.857142857142857,3.7142857142857144,2,Karir Tertunda
4.0,3.0,5.0,Pilihan,,4,3.0,,4.0,5,3,,Manajemen S1,4.0,,,,Pilihan,4.0,,4.0,,,0,4,4,Pilihan,4.0,5.0,4.0,,,,4.0,36.0,4.0,4.142857142857143,2,Karir Tertunda
100.0,14.0,4.0,Pilihan,Pilihan,4,3.0,,4.0,4,4,,Teknik Informatika S1,4.0,Pilihan,,Pilihan,,30.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,Pilihan,Pilihan,,4.0,2.0,4.0,3.857142857142857,1,Karir Linear
5.0,5.0,5.0,Pilihan,,3,3.0,,5.0,3,3,,Arsitektur S1,3.0,,,,,5.0,,5.0,,,0,3,3,,5.0,5.0,3.0,,,,5.0,95.0,3.0,4.714285714285714,1,Karir Linear
6.0,5.0,4.0,Pilihan,,4,4.0,,5.0,4,4,,Teknik Informatika S1,4.0,,,,,5.0,,5.0,,,0,4,4,Pilihan,4.0,5.0,4.0,Pilihan,,Pilihan,5.0,4.0,4.0,4.571428571428571,0,Karir Lintas Jalur
30.0,10.0,5.0,,,3,4.0,,5.0,4,4,,Psikologi S1,4.0,,,,,10.0,,4.0,,,0,3,3,Pilihan,5.0,4.0,3.0,,,,5.0,-5.0,3.4285714285714284,4.571428571428571,1,Karir Linear
10.0,5.0,2.0,,,4,1.0,,1.0,4,4,,Teknik Mesin S1,4.0,,,,,7.0,,2.0,,,0,4,4,Pilihan,2.0,2.0,4.0,,Pilihan,,2.0,-1.0,4.0,1.7142857142857142,1,Karir Linear
70.0,20.0,4.0,Pilihan,Pilihan,2,4.0,,4.0,5,4,,Teknik Sipil S1,4.0,,,,Pilihan,50.0,,4.0,,,0,4,1,Pilihan,4.0,4.0,5.0,,Pilihan,Pilihan,4.0,60.0,3.5714285714285716,4.0,0,Karir Lintas Jalur
40.0,6.0,5.0,,,3,5.0,,5.0,2,3,,Teknik Sipil S1,5.0,,,Pilihan,,7.0,,5.0,,,0,5,5,Pilihan,4.0,4.0,4.0,,,Pilihan,5.0,4.0,3.857142857142857,4.714285714285714,0,Karir Lintas Jalur
15.0,5.0,4.0,,,4,3.0,,4.0,4,5,,Hubungan Masyarakat,5.0,,,,,5.0,Pilihan,4.0,,,0,5,4,,4.0,4.0,5.0,,Pilihan,,4.0,3.0,4.571428571428571,3.857142857142857,1,Karir Linear
1.0,1.0,4.0,,,4,4.0,,4.0,4,4,,Teknik Sipil S1,4.0,,,,,1.0,,4.0,,,0,4,4,,4.0,4.0,4.0,,,,4.0,0.0,4.0,4.0,1,Karir Linear
1.0,1.0,5.0,,,4,5.0,,4.0,5,5,,Teknik Informatika S1,5.0,,,,,1.0,,5.0,,,0,4,3,Pilihan,5.0,4.0,5.0,,,Pilihan,5.0,12.0,4.428571428571429,4.714285714285714,1,Karir Linear
1.0,1.0,4.0,Pilihan,Pilihan,4,4.0,,4.0,4,4,,Teknik Elektro S1,4.0,,,,Pilihan,1.0,,4.0,,,sertifikasi LSP skema otomasi,4,4,,4.0,4.0,4.0,,Pilihan,,4.0,36.0,4.0,4.0,2,Karir Tertunda
50.0,15.0,4.0,,,2,4.0,,4.0,2,2,,Teknik Elektro S1,2.0,,,,,25.0,,4.0,,,0,2,2,Pilihan,4.0,4.0,2.0,,,,4.0,0.0,2.0,4.0,1,Karir Linear
4.0,3.0,3.0,,,5,4.0,,4.0,4,5,,Teknik Industri S1,4.0,,,,Pilihan,4.0,,4.0,,,0,4,5,Pilihan,3.0,4.0,4.0,,Pilihan,Pilihan,4.0,-1.0,4.428571428571429,3.7142857142857144,1,Karir Linear
7.0,3.0,5.0,Pilihan,,4,4.0,,4.0,4,3,,Sistem Informasi S1,3.0,,,,,4.0,,4.0,,,Junior Web Developer masa berlaku sampai dengan 2025,4,4,,4.0,4.0,3.0,,Pilihan,,4.0,-1.0,3.5714285714285716,4.142857142857143,0,Karir Lintas Jalur
5.0,2.0,3.0,,,3,3.0,,3.0,3,3,,Teknik Elektro S1,3.0,,,,,3.0,,3.0,,,0,3,3,,3.0,3.0,3.0,,,,3.0,0.0,3.0,3.0,3,Karir Elit
4.0,2.0,5.0,,,4,4.0,,5.0,3,3,,Komunikasi Digital,4.0,Pilihan,,,,2.0,,5.0,,,0,4,4,Pilihan,5.0,5.0,4.0,,,,5.0,1.0,3.7142857142857144,4.857142857142857,3,Karir Elit
1.0,1.0,4.0,,,4,4.0,,4.0,4,5,,Psikologi S1,3.0,,,,Pilihan,1.0,,5.0,,,0,3,3,,4.0,5.0,4.0,,,,5.0,12.0,3.7142857142857144,4.428571428571429,0,Karir Lintas Jalur
6.0,2.0,4.0,,,3,4.0,,4.0,3,3,,Teknik Elektro S1,3.0,,,,,3.0,,4.0,,,0,3,3,,4.0,4.0,3.0,,,,4.0,0.0,3.0,4.0,0,Karir Lintas Jalur
30.0,20.0,4.0,,,4,3.0,,5.0,5,4,,Sistem Informasi S1,4.0,,,,,20.0,,4.0,,,Web Programmer,4,4,Pilihan,4.0,4.0,4.0,,,,4.0,24.0,4.142857142857143,4.0,3,Karir Elit
50.0,20.0,3.0,Pilihan,Pilihan,3,2.0,,3.0,3,3,,Akuntansi S1,4.0,,,,,30.0,,1.0,,,0,3,3,Pilihan,2.0,2.0,4.0,Pilihan,,,1.0,-1.0,3.2857142857142856,2.0,0,Karir Lintas Jalur
1.0,1.0,5.0,Pilihan,,4,5.0,,5.0,4,4,,Teknik Sipil S1,4.0,,,,,1.0,,5.0,,,Sertifikasi Asisten Penguji Prasarana Perkeretaapian dari Direktorat Keselamatan Perkeretaapian,4,4,,5.0,5.0,4.0,,,,5.0,0.0,4.0,5.0,1,Karir Linear
25.0,10.0,4.0,,,4,3.0,,4.0,5,5,,Manajemen S1,3.0,,,,,15.0,,5.0,,,0,3,3,,4.0,5.0,3.0,,,,5.0,0.0,3.7142857142857144,4.285714285714286,1,Karir Linear
4.0,2.0,4.0,,,4,3.0,,4.0,4,4,,Teknik Sipil S1,2.0,,,,,4.0,,4.0,,,0,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,0.0,3.2857142857142856,3.857142857142857,1,Karir Linear
20.0,7.0,4.0,,,5,3.0,,5.0,5,5,,Teknik Industri S1,5.0,,,,,7.0,,4.0,,,0,4,5,Pilihan,4.0,5.0,4.0,,Pilihan,,4.0,-1.0,4.714285714285714,4.142857142857143,1,Karir Linear
10.0,5.0,4.0,Pilihan,,4,4.0,,5.0,5,5,,Psikologi S1,3.0,,,,,5.0,,5.0,,,0,2,3,,4.0,5.0,4.0,,,,5.0,12.0,3.7142857142857144,4.571428571428571,0,Karir Lintas Jalur
4.0,2.0,3.0,Pilihan,,4,3.0,,3.0,4,4,,Teknik Sipil S1,4.0,,,,Pilihan,2.0,,3.0,,,0,4,4,Pilihan,3.0,3.0,4.0,,,,3.0,50.0,4.0,3.0,1,Karir Linear
100.0,10.0,3.0,,,3,2.0,,5.0,4,2,,Teknik Sipil S1,3.0,,,,,20.0,,4.0,,,0,3,2,Pilihan,3.0,4.0,4.0,,,,4.0,-6.0,3.0,3.5714285714285716,0,Karir Lintas Jalur
9.0,5.0,4.0,Pilihan,,3,4.0,,5.0,4,4,,Teknik Elektro S1,3.0,,,,,5.0,,4.0,,,0,3,4,,4.0,4.0,3.0,,,,3.0,-12.0,3.4285714285714284,4.0,0,Karir Lintas Jalur
5.0,5.0,5.0,,,5,5.0,,5.0,5,5,,Manajemen S1,4.0,,,,,3.0,Pilihan,5.0,,,LSP,5,5,,5.0,5.0,4.0,,,,5.0,4.0,4.714285714285714,5.0,0,Karir Lintas Jalur
2.0,2.0,4.0,,,3,3.0,,5.0,4,3,,Teknik Sipil S1,4.0,,,,Pilihan,3.0,,4.0,,,-,4,3,,4.0,4.0,4.0,,,,4.0,48.0,3.5714285714285716,4.0,1,Karir Linear
4.0,2.0,4.0,,Pilihan,5,4.0,,4.0,5,5,,Akuntansi S1,5.0,,,,,2.0,,4.0,,,0,5,5,,3.0,3.0,5.0,,,,4.0,6.0,5.0,3.7142857142857144,1,Karir Linear
10.0,1.0,4.0,,Pilihan,5,3.0,,5.0,5,5,,Hubungan Masyarakat,5.0,,,,Pilihan,5.0,,4.0,,,0,5,5,Pilihan,4.0,4.0,5.0,,,Pilihan,4.0,24.0,5.0,4.0,2,Karir Tertunda
50.0,2.0,4.0,,,2,4.0,,5.0,3,2,,Psikologi S1,3.0,,,,,5.0,,4.0,,,0,3,2,Pilihan,4.0,4.0,3.0,,,,4.0,3.0,2.5714285714285716,4.142857142857143,0,Karir Lintas Jalur
20.0,5.0,5.0,Pilihan,,5,4.0,,5.0,5,5,,Manajemen S1,5.0,,,,,5.0,,5.0,,,0,5,5,,5.0,5.0,5.0,,,,5.0,-3.0,5.0,4.857142857142857,0,Karir Lintas Jalur
10.0,1.0,4.0,Pilihan,,4,4.0,,4.0,4,4,,Akuntansi S1,4.0,,,,Pilihan,5.0,,4.0,,,Sertifikat Kompetensi Teknisi Akuntansi Ahli dari BNSP,4,4,Pilihan,4.0,4.0,4.0,,,,4.0,12.0,4.0,4.0,0,Karir Lintas Jalur
2.0,2.0,4.0,,Pilihan,4,3.0,,5.0,4,4,,Akuntansi S1,5.0,,,,,2.0,,4.0,,,Certified Accurate Profesional (CAP) For Accurate version 5,5,4,,4.0,4.0,5.0,,,,5.0,48.0,4.428571428571429,4.142857142857143,0,Karir Lintas Jalur
20.0,20.0,5.0,Pilihan,Pilihan,5,3.0,,5.0,5,5,,Akuntansi S1,5.0,Pilihan,,,,30.0,,5.0,,,0,5,5,Pilihan,5.0,5.0,5.0,Pilihan,Pilihan,,5.0,-8.0,5.0,4.714285714285714,0,Karir Lintas Jalur
20.0,5.0,4.0,Pilihan,,4,3.0,,5.0,4,4,,Manajemen S1,4.0,Pilihan,,,,10.0,,4.0,,,"Sertifikasi Pajak Brevet A&B dari Tax Academy, Pelatihan Aplikasi Perpajakan (e-Faktur & e-SPT) dari Tax Academy, dan HSK-2 dari Cetta Mandarin",4,4,Pilihan,4.0,4.0,4.0,Pilihan,Pilihan,,4.0,-3.0,4.0,4.0,1,Karir Linear
10.0,3.0,3.0,,,4,3.0,,4.0,4,4,,Akuntansi S1,4.0,,,,,5.0,,4.0,,,0,4,3,Pilihan,3.0,3.0,4.0,,,,4.0,-2.0,3.857142857142857,3.4285714285714284,0,Karir Lintas Jalur
1.0,1.0,3.0,,,3,5.0,,4.0,3,1,,Psikologi S1,1.0,,,,Pilihan,1.0,,4.0,,,0,1,3,,4.0,5.0,2.0,,,,4.0,0.0,2.0,4.142857142857143,1,Karir Linear
20.0,3.0,5.0,Pilihan,,4,5.0,,5.0,4,5,,Psikologi S1,5.0,,,,,4.0,,5.0,,,0,4,4,,4.0,5.0,5.0,,,,5.0,-1.0,4.428571428571429,4.857142857142857,1,Karir Linear
20.0,5.0,5.0,,,4,3.0,,5.0,5,4,,Psikologi S1,5.0,,,Pilihan,,5.0,,5.0,,,Sumber Daya Manusia Rekrutmen dan Seleksi,4,2,Pilihan,4.0,5.0,5.0,Pilihan,,Pilihan,5.0,-6.0,4.142857142857143,4.571428571428571,0,Karir Lintas Jalur
10.0,10.0,3.0,,Pilihan,4,3.0,,5.0,4,4,,Psikologi S1,3.0,,,,,6.0,,5.0,,,0,4,4,Pilihan,3.0,4.0,5.0,,,,4.0,12.0,4.0,3.857142857142857,0,Karir Lintas Jalur
30.0,5.0,4.0,,,4,4.0,,5.0,5,5,,Psikologi S1,4.0,,,,,8.0,,4.0,,,- Certified Human Capital Analyst (CHCA) - ESAS Management - Tester & Scorer - Logos Indonesia - Performance Management - Manajemen.SDM,4,4,Pilihan,4.0,5.0,4.0,,,,4.0,-3.0,4.285714285714286,4.285714285714286,3,Karir Elit
3.0,2.0,5.0,,,5,4.0,,5.0,5,5,,Manajemen S1,5.0,,,,,3.0,Pilihan,5.0,,,0,5,5,,5.0,5.0,5.0,,,,5.0,0.0,5.0,4.857142857142857,3,Karir Elit
10.0,10.0,4.0,,,4,4.0,,4.0,4,4,,Manajemen S1,4.0,,,,,10.0,Pilihan,4.0,,,-,4,4,,4.0,4.0,4.0,,,,4.0,0.0,4.0,4.0,1,Karir Linear
100.0,15.0,4.0,Pilihan,,4,3.0,,5.0,4,4,,Akuntansi S1,5.0,Pilihan,,Pilihan,,10.0,,4.0,,,Sertifikat Accurate,4,4,Pilihan,4.0,4.0,4.0,Pilihan,Pilihan,Pilihan,4.0,-4.0,4.142857142857143,4.0,1,Karir Linear
50.0,30.0,5.0,,,3,4.0,,4.0,4,4,,Teknik Mesin S1,3.0,,,,,30.0,,4.0,,,0,3,3,Pilihan,4.0,5.0,3.0,,,,5.0,0.0,3.2857142857142856,4.428571428571429,3,Karir Elit
3.0,3.0,4.0,,Pilihan,4,4.0,,4.0,4,4,,Teknik Informatika S1,4.0,,,,,3.0,,4.0,,,0,4,4,,4.0,4.0,4.0,,,,4.0,0.0,4.0,4.0,3,Karir Elit
2.0,2.0,4.0,,,3,3.0,,4.0,3,3,,Teknik Elektro S1,3.0,,,,Pilihan,2.0,,5.0,,,Sistem Tenaga Tegangan Rendah,3,3,,4.0,5.0,2.0,,,,5.0,18.0,2.857142857142857,4.285714285714286,3,Karir Elit
1.0,1.0,5.0,,,3,5.0,,5.0,3,3,,Teknik Elektro S1,3.0,,,,,1.0,,5.0,,,0,3,3,,5.0,5.0,3.0,,,,5.0,0.0,3.0,5.0,1,Karir Linear
10.0,5.0,5.0,,,3,4.0,,5.0,4,4,,Teknik Mesin S1,2.0,,,,,5.0,,5.0,,,0,2,3,Pilihan,5.0,5.0,2.0,,,,5.0,-6.0,2.857142857142857,4.857142857142857,3,Karir Elit
1.0,1.0,5.0,,,4,3.0,,4.0,5,4,Pilihan,Manajemen S1,4.0,,,,,1.0,,4.0,,,0,3,3,,4.0,5.0,4.0,,,,4.0,1.0,3.857142857142857,4.142857142857143,1,Karir Linear
250.0,60.0,5.0,Pilihan,,5,5.0,,5.0,5,5,,Hubungan Masyarakat,5.0,,,,,120.0,,5.0,,,Sertifikasi Profesi Coordinator Public Relations,5,5,,5.0,5.0,5.0,,Pilihan,,5.0,2.0,5.0,5.0,3,Karir Elit
3.0,3.0,5.0,Pilihan,,4,4.0,,5.0,5,4,,Psikologi S1,3.0,,,,,3.0,,5.0,,,0,3,4,,5.0,5.0,3.0,,,,5.0,36.0,3.7142857142857144,4.857142857142857,2,Karir Tertunda
3.0,2.0,3.0,,,4,3.0,,5.0,5,4,,Teknik Industri S1,4.0,,,,Pilihan,2.0,,3.0,,,"1. Perancangan Produk & Proses manufaktur, 2. Perancangan Proses Manufaktur",4,4,,3.0,3.0,4.0,,,,3.0,12.0,4.142857142857143,3.2857142857142856,1,Karir Linear
2.0,2.0,5.0,,,5,5.0,,5.0,5,4,,Teknik Elektro S1,4.0,,,,,2.0,,5.0,,,"GRCE, Basic Certificate C (C1, C2, C4)",4,4,,5.0,5.0,4.0,,,,5.0,0.0,4.285714285714286,5.0,3,Karir Elit
9.0,1.0,4.0,Pilihan,,4,3.0,,4.0,4,4,,Psikologi S1,3.0,Pilihan,,,,1.0,,4.0,,,0,3,3,Pilihan,3.0,4.0,4.0,,,,4.0,6.0,3.5714285714285716,3.7142857142857144,0,Karir Lintas Jalur
4.0,4.0,5.0,,Pilihan,4,4.0,,5.0,4,4,,Psikologi S1,4.0,,,,,4.0,,5.0,,,0,4,4,,5.0,5.0,4.0,,Pilihan,,5.0,6.0,4.0,4.857142857142857,1,Karir Linear
1.0,1.0,3.0,Pilihan,,3,4.0,,4.0,4,4,,Psikologi S1,4.0,,,,,1.0,,4.0,,,0,3,2,,2.0,4.0,3.0,,,,4.0,-2.0,3.2857142857142856,3.5714285714285716,0,Karir Lintas Jalur
300.0,25.0,4.0,,Pilihan,4,4.0,,4.0,4,4,,Psikologi S1,5.0,,,,,150.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,,4.0,-7.0,4.142857142857143,4.0,1,Karir Linear
15.0,10.0,4.0,,,5,4.0,Pilihan,4.0,5,5,,Teknik Industri S1,5.0,,,,,10.0,,4.0,,,Perancangan Produk dan Proses Manufaktur dan Perancangan Sistem Manufaktur,5,5,Pilihan,4.0,4.0,5.0,,,,4.0,24.0,5.0,4.0,0,Karir Lintas Jalur
5.0,3.0,5.0,,Pilihan,4,3.0,,5.0,4,4,,Teknik Informatika S1,4.0,,,,,5.0,,4.0,,,CCNA,3,3,,4.0,5.0,3.0,,,,4.0,12.0,3.5714285714285716,4.285714285714286,0,Karir Lintas Jalur
2.0,2.0,5.0,,,5,5.0,,5.0,5,5,,Teknik Sipil S1,5.0,,,,,3.0,,5.0,,,Manajer Lapangan Pelaksanaan Pekerjaan Gedung,5,5,Pilihan,5.0,5.0,5.0,,,,5.0,-4.0,5.0,5.0,1,Karir Linear
5.0,1.0,5.0,,,3,4.0,,5.0,3,3,,Hubungan Masyarakat,3.0,,,,,1.0,Pilihan,5.0,,,0,3,3,Pilihan,5.0,5.0,3.0,,,,5.0,6.0,3.0,4.857142857142857,0,Karir Lintas Jalur
1.0,1.0,4.0,,,4,4.0,,4.0,4,4,,Teknik Sipil S1,4.0,,,,,1.0,,4.0,,,Sertifikasi pengawas pekerjaan struktur bangunan gedung utama,4,4,,4.0,4.0,4.0,,,,4.0,0.0,4.0,4.0,1,Karir Linear
7.0,2.0,5.0,,Pilihan,4,5.0,,5.0,4,5,,Teknik Mesin S1,4.0,,,,,3.0,,5.0,,,P3K First Aid,4,4,,5.0,5.0,4.0,,,,5.0,18.0,4.142857142857143,5.0,3,Karir Elit
15.0,4.0,4.0,Pilihan,,4,2.0,,4.0,4,3,,Desain Komunikasi Visual S1,5.0,Pilihan,,,Pilihan,6.0,Pilihan,3.0,,,"Sertifikasi Profesi Junior Graphic Designer, BNSP/2026",5,5,Pilihan,4.0,3.0,4.0,,Pilihan,Pilihan,4.0,12.0,4.285714285714286,3.4285714285714284,1,Karir Linear
200.0,3.0,3.0,Pilihan,,3,3.0,,4.0,3,3,,Sistem Informasi S1,3.0,,,,,7.0,,3.0,,,Python,3,3,Pilihan,4.0,3.0,3.0,,,,4.0,2.0,3.0,3.4285714285714284,3,Karir Elit
50.0,10.0,4.0,,,4,4.0,,5.0,5,4,,Hubungan Masyarakat,5.0,,,,,10.0,,5.0,Pilihan,,Sertifikasi Koordinator Program Kehumasan dari Badan Nasional Sertifikasi Profesi. Berlaku selama 3 tahun,4,4,,5.0,5.0,4.0,,,,5.0,-12.0,4.285714285714286,4.714285714285714,1,Karir Linear
10.0,6.0,5.0,,,4,4.0,,5.0,4,4,,Teknik Sipil S1,4.0,Pilihan,,,,6.0,,5.0,,,Sertifikat Kompetensi Manajer Lapangan Pelaksanaan Pekerjaan Gedung,4,4,Pilihan,5.0,5.0,4.0,,Pilihan,,5.0,-1.0,4.0,4.857142857142857,1,Karir Linear
3.0,1.0,4.0,,,5,4.0,,5.0,5,5,,Psikologi S1,5.0,Pilihan,,,,3.0,,4.0,,,Guru,5,5,,5.0,4.0,5.0,,,,4.0,10.0,5.0,4.285714285714286,1,Karir Linear
